Order_ID,Customer_Name,Product_Category,Quantity,Order_Date,Source_Warehouse,Destination_City,Priority,Order_Status
ORD0001,Reliance Retail Ltd.,Electronics,347,01-Apr-2026,Ahmedabad Central Warehouse,Surat,Medium,Delivered
ORD0002,Tata Electronics Pvt. Ltd.,Medicines,399,02-Apr-2026,Surat Distribution Center,Mumbai,Medium,Delivered
ORD0003,Apollo Pharmacy,Grocery,134,03-Apr-2026,Vadodara Fulfillment Hub,Vadodara,High,Delivered
ORD0004,DMart Distribution,Consumer Goods,366,04-Apr-2026,Mumbai Regional Hub,Bhopal,Medium,Delivered
ORD0005,Amazon Seller Services,Home Appliances,64,05-Apr-2026,Pune Logistics Center,Jaipur,Medium,Delivered
ORD0006,Flipkart Seller Hub,Clothing,36,06-Apr-2026,Ahmedabad Central Warehouse,Ahmedabad,High,Delivered
ORD0007,Croma Retail,Paints,131,07-Apr-2026,Surat Distribution Center,Rajkot,Medium,Delivered
ORD0008,Aditya Birla Fashion,Electrical Goods,328,08-Apr-2026,Vadodara Fulfillment Hub,Ahmedabad,Medium,Delivered
ORD0009,Zydus Healthcare,Food Products,121,09-Apr-2026,Mumbai Regional Hub,Bhopal,High,Delivered
ORD0010,Asian Paints Ltd.,FMCG,234,10-Apr-2026,Pune Logistics Center,Rajkot,Medium,Delivered
ORD0011,Havells India Ltd.,Eyewear,321,11-Apr-2026,Ahmedabad Central Warehouse,Mumbai,Medium,Delivered
ORD0012,Nestle India Ltd.,Cosmetics,408,12-Apr-2026,Surat Distribution Center,Vadodara,High,Delivered
ORD0013,Dabur India Ltd.,Electronics,194,13-Apr-2026,Vadodara Fulfillment Hub,Mumbai,Medium,Delivered
ORD0014,Lenskart,Medicines,130,14-Apr-2026,Mumbai Regional Hub,Pune,Medium,Delivered
ORD0015,Nykaa Retail,Grocery,67,15-Apr-2026,Pune Logistics Center,Nashik,High,Delivered
