route_id,origin_city,destination_city,origin_country,destination_country,origin_port,destination_port,distance_km,average_transit_days,route_risk,traffic_index
3e26abf4-dd1f-4e19-8ed5-ffe4905d68ad,Delhi,Felixstowe,India,United Kingdom,Mundra Port,Port of Felixstowe,2362.24,7,Medium,59
08f37f99-d81e-4b50-8bfc-7a8f52c55352,Dubai,Guangzhou,UAE,China,Khalifa Port,Shanghai Port,5909.7,11,Medium,61
daa7dccb-ed0c-4209-9334-1d610a45fd90,Manchester,Houston,United Kingdom,United States,London Gateway,Port of LA,7078.61,10,High,81
51b0b9ea-adad-4653-a483-299806a540cf,Houston,Singapore,United States,Singapore,Port of LA,Port of Singapore,7653.63,11,Low,34
966d3609-db70-45a9-b45c-72cdcbe36c5d,Felixstowe,Bengaluru,United Kingdom,India,London Gateway,Mundra Port,1172.25,4,Low,41
31c203c8-94c5-4b9e-950d-465f940e7e13,Yokohama,Amsterdam,Japan,Netherlands,Port of Osaka,Port of Rotterdam,10423.43,21,Medium,64
aa06b85c-2ea3-4ada-becf-db3486529cdd,Felixstowe,Incheon,United Kingdom,South Korea,Port of Felixstowe,Incheon Port,7623.27,14,Medium,56
ea77a4ed-6364-4bc6-8360-1f943aa28093,Ningbo,Dubai,China,UAE,Shanghai Port,Khalifa Port,1676.25,7,Medium,52
68110bbc-ffe9-47a7-abf1-744c11761dd7,Chicago,Seoul,United States,South Korea,Port Houston,Incheon Port,4091.49,11,Medium,49
5b1ca3ed-f04f-4e15-9fc1-e8e01bca8fb3,Busan,Kolkata,South Korea,India,Incheon Port,Kolkata Port,3109.88,7,Low,30
f43714bf-71b1-4909-906e-96b5eb0983a7,Felixstowe,Abu Dhabi,United Kingdom,UAE,Port of Felixstowe,Jebel Ali,1987.31,6,Low,32
c3856cd7-bd7f-4103-809e-de1d13853733,Amsterdam,Hamburg,Netherlands,Germany,Port of Rotterdam,Bremerhaven,3132.01,6,Medium,40
21cf1991-0499-4650-a4f1-677e13bb9c6d,Singapore,Delhi,Singapore,India,Port of Singapore,Chennai Port,7600.03,15,Low,17
d48b08ef-7150-4478-b6f6-a4d701b95f1c,Dubai,London,UAE,United Kingdom,Jebel Ali,Port of Felixstowe,6772.36,9,Medium,50
39b20382-e6de-42c9-82f3-a3f10e9fe625,Bremen,Mumbai,Germany,India,Port of Hamburg,Kolkata Port,6606.73,8,Low,39
f894290b-40cb-40cc-a0a4-4da6672fe3d0,Ahmedabad,Singapore,India,Singapore,Chennai Port,Port of Singapore,3822.82,11,Low,34
e7733b69-62ea-432b-bc01-d254b4104a75,Amsterdam,Yokohama,Netherlands,Japan,Port of Rotterdam,Port of Osaka,3836.56,7,Medium,50
85ec4eee-9025-4d1e-88ec-6a5ecad7057c,Incheon,Felixstowe,South Korea,United Kingdom,Port of Busan,London Gateway,4944.87,12,Low,33
5ba1bab2-43bd-4866-bc7f-faddf2b37496,Abu Dhabi,Hamburg,UAE,Germany,Jebel Ali,Port of Hamburg,8531.54,18,High,65
8bc7957f-3ff1-4716-9108-7cd7a23e1530,Los Angeles,Houston,United States,United States,Port Newark,Port of LA,199.75,5,Low,27
00e52fe2-c4eb-4cb2-a87a-ce803aa2a9eb,Bremen,Ahmedabad,Germany,India,Port of Hamburg,Mundra Port,2833.94,5,Medium,59
13e406a3-a561-40e6-a7d9-8553b81143a4,Dubai,Rotterdam,UAE,Netherlands,Jebel Ali,Port of Rotterdam,5273.73,8,Low,18
795bbcb6-716a-486c-9ff3-97662f55f3bc,Kolkata,Hyderabad,India,India,Kolkata Port,Chennai Port,2210.62,8,Medium,41
c1b350f8-1bcb-4e03-ade7-34d1af1cb725,Shenzhen,Yokohama,China,Japan,Ningbo-Zhoushan,Port of Yokohama,10554.91,16,Low,36
e88d4d29-21d9-4b2e-a286-0c7dc33c4a52,Bengaluru,Sharjah,India,UAE,Mundra Port,Khalifa Port,3883.82,9,Low,30
5c3b999c-b3cb-4b97-a56f-a246cf92a928,Singapore,Abu Dhabi,Singapore,UAE,Port of Singapore,Khalifa Port,9233.41,19,Critical,93
a5d8dba4-0c8c-46b8-b755-dfffcc4e521e,Houston,Osaka,United States,Japan,Port of LA,Port of Osaka,740.36,6,Low,32
78cf88d2-9b81-4c5b-a4dd-5d8e9c50253d,Osaka,Hamburg,Japan,Germany,Port of Yokohama,Bremerhaven,9454.49,15,Low,41
d864620c-eb46-42d7-aaa1-151ec9748071,Houston,Rotterdam,United States,Netherlands,Port Newark,Port of Rotterdam,7155.89,11,High,87
fca90666-96d6-4637-9bf5-613280badb3a,Kolkata,Tokyo,India,Japan,Kolkata Port,Port of Osaka,10133.94,13,Medium,57
9c0ceb94-ef66-48c0-9d34-ed1554a502cb,Chennai,Singapore,India,Singapore,Mundra Port,Port of Singapore,3442.72,8,Low,39
e531f611-b192-42d8-844f-c07735e6d652,New York,Amsterdam,United States,Netherlands,Port Newark,Port of Rotterdam,9684.37,21,Medium,54
663f2c94-e77e-4ee3-8a10-202478ecd463,Los Angeles,Houston,United States,United States,Port Newark,Port of LA,190.98,5,Low,31
bba2a6dd-f736-4c9c-8fa4-55a2ba9d31e3,Houston,Mumbai,United States,India,Port Houston,Mundra Port,1528.65,4,Medium,60
bf6fc0e1-798f-4a07-82a1-6cfc6bd91d31,Dubai,Incheon,UAE,South Korea,Khalifa Port,Incheon Port,8456.8,11,Low,33
7f798f8d-bd7b-4ea2-88a0-5a45789b8584,Chicago,Bremen,United States,Germany,Port Newark,Bremerhaven,8458.4,15,High,87
d653345c-bdfc-44a0-afeb-3c4974cc0f5d,Manchester,Dubai,United Kingdom,UAE,London Gateway,Jebel Ali,1898.4,6,Medium,51
080fce6d-227a-4161-9589-9109c99996ac,New York,Shenzhen,United States,China,Port of LA,Ningbo-Zhoushan,3062.07,6,Low,43
792276ba-9fa6-4dec-a2f4-30c2ffffffe7,Chennai,Hyderabad,India,India,Chennai Port,Kolkata Port,886.27,3,Medium,53
31f4fa6a-ff25-48d9-8cf6-be80ff3630e8,Singapore,Sharjah,Singapore,UAE,Port of Singapore,Khalifa Port,12363.82,20,Low,41
c0ca5700-e35d-4703-bcf0-3d83cf80b17a,Amsterdam,Felixstowe,Netherlands,United Kingdom,Port of Rotterdam,Port of Felixstowe,10203.03,17,Low,39
5fcec911-77aa-476d-b443-a508b12a0942,Abu Dhabi,Shanghai,UAE,China,Jebel Ali,Ningbo-Zhoushan,4414.36,10,Low,26
1f0dc583-c827-4176-a252-f487120d6a06,Abu Dhabi,Manchester,UAE,United Kingdom,Jebel Ali,Port of Felixstowe,2914.12,8,Low,33
f52abb29-26cd-404e-97f9-efab35f86038,Amsterdam,Kolkata,Netherlands,India,Port of Rotterdam,Kolkata Port,8077.92,14,High,62
4f972d73-b886-4ddf-98e6-1ba16071967a,Felixstowe,Abu Dhabi,United Kingdom,UAE,London Gateway,Khalifa Port,5596.13,12,Low,36
0ca0a4c1-4e1e-43a0-bad4-391278505eac,Los Angeles,Guangzhou,United States,China,Port Newark,Shanghai Port,4256.99,11,Medium,55
1677bf24-99a9-4a50-a48a-542b880c7955,Guangzhou,Bremen,China,Germany,Ningbo-Zhoushan,Port of Hamburg,5231.39,8,Low,16
0cca9b30-cfed-4707-a399-448a12989df9,Dubai,Chicago,UAE,United States,Jebel Ali,Port Newark,7871.73,16,Low,28
9220516a-61f6-4930-8705-9326caf1b153,Frankfurt,Seoul,Germany,South Korea,Bremerhaven,Port of Busan,2894.44,7,Medium,65
9ae39d88-1e69-4645-b7a2-62b29afe3ab6,Incheon,Los Angeles,South Korea,United States,Incheon Port,Port Newark,9370.64,20,Medium,55
d6003518-7e14-44c1-ba50-0c080e7c807c,New York,Kolkata,United States,India,Port Houston,Mundra Port,12180.82,30,Medium,54
